model,replicate,seed,fraction,n_train,r2_coef_determination,pearson_r,pearson_r2,rmse,mae
rf,1,43,0.26,7167,0.7134415518455075,0.8476255997428194,0.7184691573393742,4.954585336482083,0.9763904773201321
rf,1,43,0.27,7443,0.7261076805974043,0.854731320096726,0.7305656295542919,4.843849394683507,0.9432879477690649
rf,1,43,0.28,7718,0.7223635713999985,0.852811054809584,0.7272866952054352,4.876844736962422,0.9479989754382973
rf,1,43,0.29,7994,0.7242034225649219,0.8529192094536773,0.7274711778550859,4.860658851204716,0.9529659826234245
rf,1,43,0.3,8270,0.7185623655638113,0.8487706899055397,0.7204116840427258,4.910116432369594,0.9720249412277004
rf,1,43,0.31,8545,0.7150986606566359,0.8472987784524126,0.7179152199669506,4.940238889682411,0.9775664594712833
rf,1,43,0.32,8821,0.7176349410986791,0.8489794934806991,0.7207661803507445,4.9181999581715505,0.9600901804801378
rf,1,43,0.33,9096,0.7132017215225872,0.846345955943155,0.7163014771413329,4.9566582317138534,0.9487231417592462
rf,1,43,0.34,9372,0.7281294594940879,0.85510224410273,0.7311998478695247,4.825938465284815,0.9310342457186214
rf,1,43,0.35,9648,0.7287325080322948,0.8560138634648968,0.732759734444099,4.820583176003258,0.9286957795617824
rf,1,43,0.36,9923,0.7403212902278968,0.8634149866298972,0.7454854391371056,4.7164895551982795,0.8956189022532547
rf,1,43,0.37,10199,0.7410493999743282,0.8650257314834744,0.7482695161285199,4.709872661922179,0.8961339536487144
rf,1,43,0.38,10475,0.7397998157011897,0.8640160899477942,0.7465238036886749,4.721222895912547,0.8899196868893631
rf,1,43,0.39,10750,0.7434709469140772,0.8676000420107585,0.7527298328970699,4.687799017976192,0.8864917634490075
rf,1,43,0.4,11026,0.7395196795120085,0.8636839801288154,0.745950017531152,4.723763688890085,0.888149761903727
rf,1,43,0.41,11302,0.741097899080065,0.8658870311201249,0.7497603506620241,4.709431582989203,0.8807529520335263
rf,1,43,0.42,11577,0.7461400793057521,0.8675350827131841,0.7526171197381712,4.663347452717841,0.8786894279759698
rf,1,43,0.43,11853,0.7468737428298987,0.8678840308578936,0.7532226910181451,4.656603963172218,0.8673950122040048
rf,1,43,0.44,12129,0.754510454508717,0.8728100359886609,0.7617973589225275,4.585822128190495,0.8576884450224856
rf,1,43,0.45,12404,0.7496531141910379,0.868375358455515,0.754075763172744,4.630968227492732,0.8744483667207857
rf,1,43,0.46,12680,0.7629721269748172,0.8756200158592894,0.7667104121734222,4.506095735132697,0.8384061830311585
rf,1,43,0.47,12956,0.7678701360848447,0.8789428059547979,0.7725404561396935,4.459295097385003,0.8296766803427508
rf,1,43,0.48,13231,0.7599723344939454,0.8750537539095864,0.765719072231259,4.5345203503570435,0.8516279243932389
rf,1,43,0.49,13507,0.7570238784518619,0.8733861470723445,0.762803361897875,4.562285953965021,0.8547069837534257
rf,1,43,0.5,13782,0.767223696282404,0.8795785878667545,0.7736584922336739,4.465499946810005,0.8309651492066118
rf,1,43,0.51,14058,0.7652923885149241,0.8783788284035775,0.7715493661876415,4.483986450604415,0.8418415570918192
rf,1,43,0.52,14334,0.7669893916021917,0.8799609239906264,0.7743312277504371,4.467746791448864,0.8289048761545313
rf,1,43,0.53,14609,0.7693618140491167,0.880353129613717,0.775021632820666,4.444944180090552,0.8284219927811781
rf,1,43,0.54,14885,0.772494611201744,0.8833270030117436,0.7802665942497089,4.414652753957315,0.8213177807741094
rf,1,43,0.55,15161,0.7699843380110631,0.8810780294607992,0.7762984939985249,4.4389413710610395,0.823629672169662
rf,1,43,0.56,15436,0.7727798173428565,0.881169585367803,0.7764598381772658,4.411884729570012,0.8080068675595135
rf,1,43,0.57,15712,0.7750315971393453,0.8834479983428852,0.7804803657760505,4.389969139237057,0.8133958964524879
rf,1,43,0.58,15988,0.7702841823905671,0.8805465413265544,0.7753622114421574,4.43604716451695,0.8104122228798035
rf,1,43,0.59,16263,0.7701632793823548,0.8818116038239789,0.777591704638618,4.437214391269141,0.8062666915427154
rf,1,43,0.6,16539,0.7780704326158048,0.8839719072803711,0.781406332860897,4.360218848532037,0.808378594305756
