insert_1_id_code,insert_1_ori_code,insert_2_id_code,insert_2_ori_code,insert_3_id_code,insert_3_ori_code,insert_4_id_code,insert_4_ori_code,insert_5_id_code,insert_5_ori_code,avg_Rep
0,0,0,0,10,0,2,1,10,0,0.0377876932259515
0,0,0,0,10,0,5,1,4,1,0.0404926094480913
0,0,0,0,10,0,5,1,10,1,0.0622855194073458
0,0,0,0,10,0,7,0,8,1,0.585119867383193
0,0,0,0,10,0,7,1,10,1,0.533129081960548
0,0,0,0,10,0,8,0,5,0,0.0256034787521251
0,0,0,0,10,0,8,0,8,0,0.0412443740581638
0,0,0,0,10,0,9,0,0,1,0.0261491527473162
0,0,0,0,10,0,9,0,8,1,0.376938000863125
0,0,0,0,10,0,9,0,10,0,0.0625564892082079
0,0,0,0,10,1,0,0,0,0,0.101517066832067
0,0,0,0,10,1,0,0,5,1,0.0391470447012038
0,0,0,0,10,1,0,1,2,0,0.011731737957866
0,0,0,0,10,1,0,1,3,1,0.125434659811124
0,0,0,0,10,1,1,1,2,0,0.0099582617540457
0,0,0,0,10,1,2,0,4,1,0.020683124542682
0,0,0,0,10,1,2,0,8,0,0.0036860995334589
0,0,0,0,10,1,2,0,9,0,0.0425789260982766
0,0,0,0,10,1,4,1,8,0,0.0155724857121794
0,0,0,0,10,1,5,0,7,1,0.0941762606563269
0,0,0,0,10,1,5,1,5,1,0.0251848950071382
0,0,0,0,10,1,5,1,10,1,0.0795748136396783
0,0,0,0,10,1,7,0,4,1,0.0841005332303585
0,0,0,0,10,1,7,1,0,0,0.161361694788121
0,0,1,0,0,0,1,0,2,0,0.0222437642064441
0,0,1,0,0,0,7,0,5,0,0.150866122193682
0,0,1,0,0,0,8,1,6,1,0.0658471141693091
0,0,1,0,0,0,9,1,3,1,0.126819474369389
0,0,1,0,0,0,10,1,6,1,0.0100103661684604
0,0,1,0,0,1,3,0,5,0,0.0161977906125734
0,0,1,0,0,1,6,0,0,0,0.0
0,0,1,0,0,1,8,0,5,0,0.0394725711187295
0,0,1,0,0,1,8,0,10,1,0.0708033056685424
0,0,1,0,1,0,0,1,3,1,0.128403422220475
0,0,1,0,1,0,10,0,5,1,0.0354045631802161
0,0,1,0,1,0,10,0,8,0,0.0169896288484334
0,0,1,0,2,0,0,0,3,0,0.0150771090492847
0,0,1,0,2,0,2,0,7,1,0.0807317267829336
0,0,1,0,2,0,4,0,5,1,0.0206101087899274
0,0,1,0,2,1,0,0,5,1,0.020565850838606
